 area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,total_sqft_numeric,price_per_sqft,sqft_per_bhk
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2.0,2.0,45.0,2.0,1200.0,3750.0,600.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1902,3.0,2.0,89.0,3.0,1902.0,4679.2849631966355,634.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,800,2.0,1.0,40.0,2.0,800.0,5000.0,400.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1222,2.0,3.0,48.0,2.0,1222.0,3927.986906710311,611.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,900,2.0,1.0,40.0,2.0,900.0,4444.444444444444,450.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1837,2.0,2.0,95.0,3.0,1837.0,5171.475231355471,612.3333333333334
Built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1510,3.0,2.0,78.0,3.0,1510.0,5165.562913907284,503.3333333333333
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1354,2.0,2.0,70.0,2.0,1354.0,5169.8670605613,677.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,3.0,2.0,70.0,2.0,1200.0,5833.333333333333,600.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1354,2.0,2.0,71.0,2.0,1354.0,5243.722304283604,677.0
Super built-up  Area,Ready To Move,Kalkere,2 BHK,856,2.0,3.0,40.0,2.0,856.0,4672.897196261682,428.0
Built-up  Area,Ready To Move,Kalkere,2 BHK,925,2.0,2.0,48.0,2.0,925.0,5189.189189189189,462.5
Super built-up  Area,17-Aug,Kalkere,2 BHK,925,2.0,2.0,51.0,2.0,925.0,5513.513513513513,462.5
Built-up  Area,Ready To Move,Kalkere,2 BHK,1147,2.0,1.0,54.0,2.0,1147.0,4707.933740191805,573.5
Super built-up  Area,Ready To Move,Kalkere,2 BHK,925,2.0,3.0,42.0,2.0,925.0,4540.540540540541,462.5
Super built-up  Area,Ready To Move,Kalkere,3 BHK,1850,3.0,3.0,95.0,3.0,1850.0,5135.135135135135,616.6666666666666
Super built-up  Area,Ready To Move,Kalkere,2 BHK,925,2.0,1.0,55.0,2.0,925.0,5945.945945945946,462.5
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,1050,2.0,2.0,50.0,2.0,1050.0,4761.9047619047615,525.0
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,1054,2.0,1.0,53.0,2.0,1054.0,5028.462998102466,527.0
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,1255,2.0,3.0,65.0,2.0,1255.0,5179.282868525896,627.5
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1375,3.0,2.0,75.0,3.0,1375.0,5454.545454545455,458.3333333333333
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,820,2.0,0.0,39.0,2.0,820.0,4756.09756097561,410.0
Built-up  Area,Ready To Move,Kalyan nagar,4 BHK,3800,5.0,3.0,300.0,4.0,3800.0,7894.736842105263,950.0
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1640,3.0,3.0,88.0,3.0,1640.0,5365.8536585365855,546.6666666666666
Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1800,3.0,2.0,85.0,3.0,1800.0,4722.222222222223,600.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1080,2.0,2.0,73.0,2.0,1080.0,6759.259259259259,540.0
Super built-up  Area,Ready To Move,Kalyan nagar,4 BHK,2422,3.0,2.0,150.0,4.0,2422.0,6193.228736581338,605.5
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1280,2.0,1.0,48.0,2.0,1280.0,3750.0,640.0
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,1410,2.0,2.0,60.0,3.0,1410.0,4255.31914893617,470.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1198,2.0,1.0,65.0,2.0,1198.0,5425.709515859767,599.0
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1250,2.0,2.0,65.0,2.0,1250.0,5200.0,625.0
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1190,2.0,1.0,60.0,2.0,1190.0,5042.016806722689,595.0
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1086,2.0,2.0,44.5,2.0,1086.0,4097.605893186003,543.0
Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,2285,4.0,1.0,165.0,3.0,2285.0,7221.006564551422,761.6666666666666
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1100,2.0,1.0,70.0,2.0,1100.0,6363.636363636364,550.0
Built-up  Area,18-May,Kamakshipalya,2 BHK,1150,2.0,1.0,75.0,2.0,1150.0,6521.739130434783,575.0
Built-up  Area,Ready To Move,Kamakshipalya,3 BHK,1155,2.0,0.0,60.0,3.0,1155.0,5194.805194805195,385.0
Plot  Area,Ready To Move,Kamakshipalya,2 Bedroom,1044,2.0,2.0,85.0,2.0,1044.0,8141.762452107279,522.0
Plot  Area,Ready To Move,Kamakshipalya,1 Bedroom,450,1.0,0.0,30.0,1.0,450.0,6666.666666666667,450.0
Plot  Area,Ready To Move,Kamakya Layout,6 Bedroom,2750,6.0,3.0,200.0,6.0,2750.0,7272.727272727273,458.3333333333333
Built-up  Area,Ready To Move,Kamala Nagar,2 Bedroom,1000,2.0,1.0,80.0,2.0,1000.0,8000.0,500.0
Super built-up  Area,Ready To Move,Kamala Nagar,2 BHK,700,2.0,0.0,43.0,2.0,700.0,6142.857142857143,350.0
Super built-up  Area,Ready To Move,Kamala Nagar,1 BHK,565,1.0,1.0,33.0,1.0,565.0,5840.70796460177,565.0
Super built-up  Area,17-May,Kambipura,2 BHK,883,2.0,1.0,45.0,2.0,883.0,5096.262740656852,441.5
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,56.0,3.0,1082.0,5175.6007393715345,360.6666666666667
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,45.0,2.0,883.0,5096.262740656852,441.5
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,45.0,3.0,1082.0,4158.964879852126,360.6666666666667
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,39.0,2.0,883.0,4416.761041902605,441.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,45.0,2.0,883.0,5096.262740656852,441.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,39.0,2.0,883.0,4416.761041902605,441.5
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,55.0,3.0,1082.0,5083.179297597043,360.6666666666667
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,45.0,3.0,1082.0,4158.964879852126,360.6666666666667
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,37.0,2.0,883.0,4190.260475651189,441.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,44.0,2.0,883.0,4983.012457531144,441.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,37.0,2.0,883.0,4190.260475651189,441.5
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,45.5,3.0,1082.0,4205.1756007393715,360.6666666666667
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1083,2.0,1.0,48.0,3.0,1083.0,4432.13296398892,361.0
Built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,39.0,2.0,883.0,4416.761041902605,441.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,37.01,2.0,883.0,4191.392978482446,441.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,39.0,2.0,883.0,4416.761041902605,441.5
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,45.0,2.0,883.0,5096.262740656852,441.5
Built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,39.0,2.0,883.0,4416.761041902605,441.5
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,55.0,3.0,1082.0,5083.179297597043,360.6666666666667
Super built-up  Area,Ready To Move,Kammagondahalli,2 BHK,1263,2.0,1.0,51.5,2.0,1263.0,4077.593032462391,631.5
Built-up  Area,Ready To Move,Kammagondahalli,6 Bedroom,2700,7.0,3.0,110.0,6.0,2700.0,4074.074074074074,450.0
Super built-up  Area,17-Mar,Kammagondahalli,3 BHK,1347,2.0,2.0,55.0,3.0,1347.0,4083.147735708983,449.0
Built-up  Area,Ready To Move,Kammanahalli,5 BHK,2845,5.0,1.0,140.0,5.0,2845.0,4920.91388400703,569.0
Built-up  Area,Ready To Move,Kammanahalli,5 Bedroom,1666,4.0,1.0,150.0,5.0,1666.0,9003.60144057623,333.2
Built-up  Area,Ready To Move,Kammanahalli,1 Bedroom,700,1.0,0.0,59.0,1.0,700.0,8428.57142857143,700.0
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,1200,2.0,2.0,80.0,2.0,1200.0,6666.666666666667,600.0
Built-up  Area,Ready To Move,Kammanahalli,2 BHK,1100,2.0,1.0,60.0,2.0,1100.0,5454.545454545455,550.0
Plot  Area,Ready To Move,Kammanahalli,2 Bedroom,1200,1.0,1.0,81.0,2.0,1200.0,6750.0,600.0
Built-up  Area,Ready To Move,Kammanahalli,4 Bedroom,2900,4.0,2.0,200.0,4.0,2900.0,6896.551724137931,725.0
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,1200,3.0,2.0,80.0,2.0,1200.0,6666.666666666667,600.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3.0,2.0,65.0,3.0,1595.0,4075.2351097178685,531.6666666666666
Super built-up  Area,18-Apr,Kammasandra,2 BHK,810,2.0,2.0,24.5,2.0,810.0,3024.6913580246915,405.0
Super built-up  Area,Ready To Move,Kammasandra,1 BHK,650 - 665,1.0,0.0,18.41,1.0,657.5,2800.0,657.5
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,674,2.0,1.0,29.0,2.0,674.0,4302.670623145401,337.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,912,2.0,1.0,39.0,3.0,912.0,4276.315789473684,304.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1156,2.0,2.0,32.0,2.0,1156.0,2768.166089965398,578.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,870,2.0,1.0,24.0,2.0,870.0,2758.6206896551726,435.0
Built-up  Area,Ready To Move,Kammasandra,2 BHK,990,2.0,1.0,31.5,2.0,990.0,3181.818181818182,495.0
Super built-up  Area,18-Aug,Kammasandra,3 BHK,1385,2.0,2.0,34.63,3.0,1385.0,2500.361010830325,461.6666666666667
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,930,2.0,0.0,25.0,2.0,930.0,2688.1720430107525,465.0
Super built-up  Area,18-Mar,Kammasandra,2 BHK,992,2.0,2.0,25.79,2.0,992.0,2599.798387096774,496.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1030,1.0,2.0,25.75,2.0,1030.0,2500.0,515.0
Super built-up  Area,18-Aug,Kammasandra,3 BHK,1365,2.0,1.0,34.13,3.0,1365.0,2500.3663003663005,455.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1015,2.0,2.0,37.0,2.0,1015.0,3645.320197044335,507.5
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1276,2.0,1.0,31.9,3.0,1276.0,2500.0,425.3333333333333
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1080,2.0,1.0,31.99,2.0,1080.0,2962.037037037037,540.0
Built-up  Area,Ready To Move,Kammasandra,2 BHK,1415,2.0,2.0,60.0,2.0,1415.0,4240.282685512368,707.5
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1057,2.0,1.0,35.0,2.0,1057.0,3311.2582781456954,528.5
Super built-up  Area,18-Mar,Kammasandra,2 BHK,982,2.0,2.0,25.53,2.0,982.0,2599.79633401222,491.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1500,3.0,2.0,65.0,3.0,1500.0,4333.333333333333,500.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,985,2.0,1.0,40.5,2.0,985.0,4111.675126903553,492.5
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,940,2.0,2.0,35.0,2.0,940.0,3723.404255319149,470.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1616,3.0,3.0,40.0,3.0,1616.0,2475.2475247524753,538.6666666666666
Super built-up  Area,18-Apr,Kammasandra,1 BHK,610,1.0,1.0,18.5,1.0,610.0,3032.7868852459014,610.0
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,2479.13,3.0,1.0,215.0,3.0,2479.13,8672.39717158842,826.3766666666667
Plot  Area,Ready To Move,Kanaka Nagar,3 Bedroom,1365,3.0,0.0,99.0,3.0,1365.0,7252.747252747253,455.0
Super built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,2274.24,4.0,1.0,160.0,3.0,2274.24,7035.317292809907,758.0799999999999
Built-up  Area,Ready To Move,Kanaka Nagar,4 Bedroom,1600,4.0,2.0,90.0,4.0,1600.0,5625.0,400.0
Built-up  Area,Ready To Move,Kanakapura,3 BHK,1419,3.0,3.0,75.0,3.0,1419.0,5285.412262156448,473.0
Super built-up  Area,19-Dec,Kanakapura,1 BHK,711,1.0,1.0,36.0,1.0,711.0,5063.291139240507,711.0
Super built-up  Area,19-Dec,Kanakapura,1 BHK,711,1.0,1.0,38.0,1.0,711.0,5344.585091420535,711.0
Super built-up  Area,18-Mar,Kanakapura,2 BHK,929,2.0,1.0,46.0,2.0,929.0,4951.560818083961,464.5
Super built-up  Area,22-Mar,Kanakapura,1 BHK,551,1.0,1.0,30.0,1.0,551.0,5444.64609800363,551.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1020,2.0,1.0,42.83,2.0,1020.0,4199.019607843137,510.0
Super built-up  Area,19-Dec,Kanakapura,3 BHK,1699,3.0,3.0,97.0,3.0,1699.0,5709.240729841083,566.3333333333334
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1130,2.0,1.0,45.2,2.0,1130.0,4000.0,565.0
Super built-up  Area,20-Dec,Kanakapura,3 BHK,1476,3.0,1.0,75.0,3.0,1476.0,5081.30081300813,492.0
Super built-up  Area,18-Dec,Kanakapura,2 BHK,1295,2.0,2.0,64.0,2.0,1295.0,4942.084942084942,647.5
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1160,2.0,1.0,46.39,2.0,1160.0,3999.137931034483,580.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1277,2.0,2.0,55.0,2.0,1277.0,4306.969459671104,638.5
Super built-up  Area,19-Dec,Kanakapura,2 BHK,1151,2.0,1.0,59.0,2.0,1151.0,5125.977410947003,575.5
Super built-up  Area,22-Mar,Kanakapura,2 BHK,945,2.0,1.0,47.0,2.0,945.0,4973.544973544974,472.5
Super built-up  Area,22-Mar,Kanakapura,3 BHK,1254,2.0,2.0,70.0,3.0,1254.0,5582.13716108453,418.0
Built-up  Area,18-Mar,Kanakapura,3 Bedroom,2200,3.0,1.0,121.0,3.0,2200.0,5500.0,733.3333333333334
Built-up  Area,Ready To Move,Kanakapura,2 BHK,1340,2.0,2.0,65.0,2.0,1340.0,4850.746268656716,670.0
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1560,2.0,2.0,62.38,3.0,1560.0,3998.7179487179487,520.0
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1450,3.0,1.0,75.0,3.0,1450.0,5172.413793103448,483.3333333333333
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,1130,2.0,1.0,45.2,2.0,1130.0,4000.0,565.0
Super built-up  Area,18-Aug,Kanakapura,2 BHK,1283,2.0,2.0,68.0,2.0,1283.0,5300.077942322681,641.5
Built-up  Area,Ready To Move,Kanakapura,4 BHK,2130,4.0,0.0,120.0,4.0,2130.0,5633.802816901409,532.5
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1290,2.0,3.0,51.1,3.0,1290.0,3961.2403100775196,430.0
Super built-up  Area,19-Dec,Kanakapura,1 BHK,938,1.0,1.0,50.0,1.0,938.0,5330.490405117271,938.0
Super built-up  Area,19-Dec,Kanakapura,1 BHK,712 - 938,1.0,0.0,35.475,1.0,825.0,4300.0,825.0
Super built-up  Area,19-Dec,Kanakapura,3 BHK,1489,2.0,1.0,70.0,3.0,1489.0,4701.141705842848,496.3333333333333
Super built-up  Area,19-Dec,Kanakapura,3 BHK,1477,2.0,1.0,69.5,3.0,1477.0,4705.484089370345,492.3333333333333
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,36.0,2.0,700.0,5142.857142857143,350.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3.0,2.0,88.0,3.0,1665.0,5285.285285285286,555.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,57.0,2.0,950.0,6000.0,475.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250,4.0,1.0,110.0,4.0,2250.0,4888.888888888889,562.5
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1017,2.0,1.0,51.25,2.0,1017.0,5039.331366764995,508.5
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,26.0,1.0,525.0,4952.380952380952,525.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,67.0,3.0,1550.0,4322.580645161291,516.6666666666666
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,2.0,2.0,21.53,1.0,525.0,4100.952380952381,525.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,40.0,2.0,950.0,4210.526315789473,475.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,64.5,3.0,1550.0,4161.290322580645,516.6666666666666
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,27.25,1.0,525.0,5190.476190476191,525.0
Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,1100,2.0,1.0,58.0,3.0,1100.0,5272.727272727273,366.6666666666667
Super built-up  Area,21-Oct,Kanakpura Road,1 BHK,525,1.0,1.0,30.0,1.0,525.0,5714.285714285715,525.0
Super built-up  Area,18-May,Kanakpura Road,2 BHK,1180,2.0,2.0,57.0,2.0,1180.0,4830.5084745762715,590.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339,2.0,3.0,75.0,2.0,1339.0,5601.194921583271,669.5
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,1100,3.0,2.0,58.0,3.0,1100.0,5272.727272727273,366.6666666666667
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,26.0,1.0,525.0,4952.380952380952,525.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,53.0,3.0,1100.0,4818.181818181818,366.6666666666667
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,95.84,3.0,1843.0,5200.217037438958,614.3333333333334
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,1290,2.0,3.0,74.0,2.0,1290.0,5736.434108527132,645.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1500,2.0,2.0,69.0,2.0,1500.0,4600.0,750.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3.0,2.0,86.58,3.0,1665.0,5200.0,555.0
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1558.67,2.0,2.0,65.0,3.0,1558.67,4170.222048284755,519.5566666666667
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1542,2.0,3.0,85.0,3.0,1542.0,5512.321660181582,514.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1300,2.0,3.0,69.0,3.0,1300.0,5307.692307692308,433.3333333333333
Super built-up  Area,20-Oct,Kanakpura Road,2 BHK,900,2.0,1.0,46.0,2.0,900.0,5111.111111111111,450.0
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,900,1.0,0.0,45.0,2.0,900.0,5000.0,450.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,92.15,3.0,1843.0,5000.0,614.3333333333334
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900,2.0,1.0,46.0,2.0,900.0,5111.111111111111,450.0
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,900,2.0,1.0,46.0,2.0,900.0,5111.111111111111,450.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1495,2.0,2.0,90.0,2.0,1495.0,6020.066889632107,747.5
Super built-up  Area,21-May,Kanakpura Road,3 BHK,1699,3.0,3.0,81.94,3.0,1699.0,4822.836962919364,566.3333333333334
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1570,3.0,3.0,64.5,3.0,1570.0,4108.28025477707,523.3333333333334
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,1560,3.0,2.0,92.0,3.0,1560.0,5897.4358974358975,520.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1135,2.0,2.0,58.0,2.0,1135.0,5110.132158590309,567.5
Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,3500,6.0,2.0,225.0,4.0,3500.0,6428.571428571428,875.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1420,2.0,2.0,75.0,3.0,1420.0,5281.69014084507,473.3333333333333
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900,2.0,1.0,41.0,2.0,900.0,4555.555555555556,450.0
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,670 - 980,1.0,0.0,36.29,1.0,825.0,4398.787878787879,825.0
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,983,2.0,1.0,50.6,2.0,983.0,5147.5076297049845,491.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1480,2.0,2.0,64.23,3.0,1480.0,4339.864864864865,493.3333333333333
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,35.0,2.0,700.0,5000.0,350.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1660,3.0,3.0,75.0,3.0,1660.0,4518.0722891566265,553.3333333333334
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,3.0,3.0,60.91,3.0,1450.0,4200.689655172414,483.3333333333333
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,95.84,3.0,1843.0,5200.217037438958,614.3333333333334
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,700,1.0,1.0,35.0,2.0,700.0,5000.0,350.0
Super built-up  Area,19-Dec,Kanakpura Road,2 BHK,1366,3.0,1.0,76.85,2.0,1366.0,5625.915080527086,683.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1419.59,2.0,1.0,59.0,3.0,1419.59,4156.129586711656,473.19666666666666
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,25.0,1.0,525.0,4761.9047619047615,525.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,53.0,3.0,1100.0,4818.181818181818,366.6666666666667
Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,2265,3.0,2.0,136.0,3.0,2265.0,6004.415011037528,755.0
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,1252,2.0,1.0,56.32,2.0,1252.0,4498.402555910543,626.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,53.0,3.0,1100.0,4818.181818181818,366.6666666666667
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1430 - 1630,2.0,2.0,66.4,3.0,1530.0,4339.869281045752,510.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339,2.0,2.0,62.0,2.0,1339.0,4630.321135175504,669.5
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1470,2.0,2.0,61.74,2.0,1470.0,4200.0,735.0
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,2200,3.0,2.0,130.0,3.0,2200.0,5909.090909090909,733.3333333333334
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,525,1.0,1.0,30.0,1.0,525.0,5714.285714285715,525.0
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1090,2.0,1.0,54.54,2.0,1090.0,5003.6697247706425,545.0
Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,1051,2.0,2.0,56.74,2.0,1051.0,5398.667935299714,525.5
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,525,1.0,1.0,30.0,1.0,525.0,5714.285714285715,525.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339,2.0,2.0,58.0,2.0,1339.0,4331.59073935773,669.5
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,45.0,2.0,950.0,4736.8421052631575,475.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1570,3.0,3.0,64.5,3.0,1570.0,4108.28025477707,523.3333333333334
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1452,3.0,3.0,60.98,3.0,1452.0,4199.724517906336,484.0
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,1300,3.0,2.0,69.0,3.0,1300.0,5307.692307692308,433.3333333333333
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,700,2.0,1.0,40.0,2.0,700.0,5714.285714285715,350.0
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,381 - 535,1.0,0.0,19.695,1.0,458.0,4300.218340611354,458.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1700,3.0,3.0,88.0,3.0,1700.0,5176.470588235294,566.6666666666666
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1482,3.0,3.0,60.98,3.0,1482.0,4114.7098515519565,494.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1570,3.0,3.0,64.5,3.0,1570.0,4108.28025477707,523.3333333333334
Plot  Area,Ready To Move,Kanakpura Road,4 Bedroom,2775,3.0,1.0,165.0,4.0,2775.0,5945.945945945946,693.75
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,1900,3.0,1.0,99.0,3.0,1900.0,5210.526315789473,633.3333333333334
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1290,2.0,3.0,80.0,2.0,1290.0,6201.550387596899,645.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,900,2.0,1.0,41.0,2.0,900.0,4555.555555555556,450.0
Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,1100,3.0,1.0,52.97,3.0,1100.0,4815.454545454545,366.6666666666667
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,34.98,2.0,700.0,4997.142857142857,350.0
Super built-up  Area,18-Aug,Kanakpura Road,2 BHK,1225,2.0,2.0,60.0,2.0,1225.0,4897.959183673469,612.5
Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,1868,3.0,2.0,113.0,3.0,1868.0,6049.250535331906,622.6666666666666
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1339,2.0,2.0,62.0,2.0,1339.0,4630.321135175504,669.5
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,1366,2.0,1.0,83.0,2.0,1366.0,6076.134699853587,683.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,40.0,2.0,700.0,5714.285714285715,350.0
